"Date/Time","Date/Time","No.1"
"時差:GMT+9:00/夏時間:off","日付のシリアル値(Excel)",""
"","","mV"
"2020-11-20 12:40:00","44155.527777778","691.8"
"2020-11-20 12:45:00","44155.53125","705"
"2020-11-20 12:50:00","44155.534722222","800.4"
"2020-11-20 12:55:00","44155.538194444","698.6"
"2020-11-20 13:00:00","44155.541666667","713.6"
"2020-11-20 13:05:00","44155.545138889","693.2"
"2020-11-20 13:10:00","44155.548611111","700.4"
"2020-11-20 13:15:00","44155.552083333","694"
"2020-11-20 13:20:00","44155.555555556","691.2"
"2020-11-20 13:25:00","44155.559027778","704.2"
"2020-11-20 13:30:00","44155.5625","731.2"
"2020-11-20 13:35:00","44155.565972222","726.8"
"2020-11-20 13:40:00","44155.569444444","708.2"
"2020-11-20 13:45:01","44155.572928241","784.4"
"2020-11-20 13:50:01","44155.576400463","696"
"2020-11-20 13:55:01","44155.579872685","743"
"2020-11-20 14:00:01","44155.583344907","808.4"
"2020-11-20 14:05:00","44155.586805556","706.8"
"2020-11-20 14:10:00","44155.590277778","745.4"
"2020-11-20 14:15:00","44155.59375","731.6"
"2020-11-20 14:20:00","44155.597222222","731.2"
"2020-11-20 14:25:00","44155.600694444","721.2"
"2020-11-20 14:30:00","44155.604166667","725.6"
"2020-11-20 14:35:01","44155.607650463","759"
"2020-11-20 14:40:00","44155.611111111","723.2"
"2020-11-20 14:45:00","44155.614583333","687.8"
"2020-11-20 14:50:00","44155.618055556","706.8"
"2020-11-20 14:55:01","44155.621539352","779.2"
"2020-11-20 15:00:01","44155.625011574","738.8"
"2020-11-20 15:05:01","44155.628483796","730.8"
"2020-11-20 15:10:00","44155.631944444","731.2"
"2020-11-20 15:15:00","44155.635416667","723.2"
"2020-11-20 15:20:00","44155.638888889","696.2"
"2020-11-20 15:25:01","44155.642372685","762.8"
"2020-11-20 15:30:01","44155.645844907","714.6"
"2020-11-20 15:35:00","44155.649305556","726"
"2020-11-20 15:40:01","44155.652789352","685.4"
"2020-11-20 15:45:01","44155.656261574","762"
"2020-11-20 15:50:01","44155.659733796","702.6"
"2020-11-20 15:55:01","44155.663206019","630.2"
"2020-11-20 16:00:01","44155.666678241","632.6"
"2020-11-20 16:05:01","44155.670150463","635"
"2020-11-20 16:10:01","44155.673622685","686.4"
"2020-11-20 16:15:01","44155.677094907","685.4"
"2020-11-20 16:20:01","44155.68056713","682.8"
"2020-11-20 16:25:01","44155.684039352","692"
"2020-11-20 16:30:01","44155.687511574","678.8"
"2020-11-20 16:35:01","44155.690983796","681.6"
"2020-11-20 16:40:01","44155.694456019","691.8"
"2020-11-20 16:45:01","44155.697928241","695"
"2020-11-20 16:50:01","44155.701400463","681.8"
"2020-11-20 16:55:01","44155.704872685","696.6"
"2020-11-20 17:00:01","44155.708344907","697.8"
"2020-11-20 17:05:00","44155.711805556","678.8"
"2020-11-20 17:10:00","44155.715277778","680.2"
"2020-11-20 17:15:00","44155.71875","674.6"
"2020-11-20 17:20:00","44155.722222222","677.6"
"2020-11-20 17:25:00","44155.725694444","661.6"
"2020-11-20 17:30:01","44155.729178241","664"
"2020-11-20 17:35:01","44155.732650463","693.8"
"2020-11-20 17:40:00","44155.736111111","667.2"
"2020-11-20 17:45:00","44155.739583333","684.8"
"2020-11-20 17:50:01","44155.74306713","698.8"
"2020-11-20 17:55:01","44155.746539352","672.4"
"2020-11-20 18:00:01","44155.750011574","674.4"
"2020-11-20 18:05:01","44155.753483796","679.2"
"2020-11-20 18:10:00","44155.756944444","672"
"2020-11-20 18:15:00","44155.760416667","2652"
"2020-11-20 18:20:01","44155.763900463","692.4"
"2020-11-20 18:25:01","44155.767372685","665.4"
"2020-11-20 18:30:00","44155.770833333","669"
"2020-11-20 18:35:00","44155.774305556","665"
"2020-11-20 18:40:00","44155.777777778","676.2"
"2020-11-20 18:45:00","44155.78125","689.6"
"2020-11-20 18:50:00","44155.784722222","692.2"
"2020-11-20 18:55:00","44155.788194444","666.4"
"2020-11-20 19:00:00","44155.791666667","671"
"2020-11-20 19:05:00","44155.795138889","664.2"
"2020-11-20 19:10:00","44155.798611111","676.4"
"2020-11-20 19:15:00","44155.802083333","665.6"
"2020-11-20 19:20:00","44155.805555556","754.8"
"2020-11-20 19:25:01","44155.809039352","714.8"
"2020-11-20 19:30:00","44155.8125","703.2"
"2020-11-20 19:35:00","44155.815972222","687.8"
"2020-11-20 19:40:01","44155.819456019","684.2"
"2020-11-20 19:45:00","44155.822916667","660.4"
"2020-11-20 19:50:00","44155.826388889","667.8"
"2020-11-20 19:55:00","44155.829861111","672.8"
"2020-11-20 20:00:00","44155.833333333","682.6"
"2020-11-20 20:05:00","44155.836805556","675.6"
"2020-11-20 20:10:00","44155.840277778","669.2"
"2020-11-20 20:15:01","44155.843761574","665.6"
"2020-11-20 20:20:00","44155.847222222","685.2"
"2020-11-20 20:25:00","44155.850694444","669.8"
"2020-11-20 20:30:00","44155.854166667","621.2"
"2020-11-20 20:35:00","44155.857638889","629.2"
"2020-11-20 20:40:00","44155.861111111","626.2"
"2020-11-20 20:45:01","44155.864594907","625.6"
"2020-11-20 20:50:00","44155.868055556","643.8"
"2020-11-20 20:55:00","44155.871527778","645.6"
"2020-11-20 21:00:00","44155.875","626.2"
"2020-11-20 21:05:00","44155.878472222","632.2"
