"Date/Time","Date/Time","No.1"
"時差:GMT+9:00/夏時間:off","日付のシリアル値(Excel)",""
"","","mV"
"2020-11-20 14:53:01","44155.620150463","0.4"
"2020-11-20 14:58:01","44155.623622685","0"
"2020-11-20 15:03:01","44155.627094907","0"
"2020-11-20 15:08:01","44155.63056713","0"
"2020-11-20 15:13:01","44155.634039352","0"
"2020-11-20 15:18:01","44155.637511574","0.4"
"2020-11-20 15:23:01","44155.640983796","0"
"2020-11-20 15:28:01","44155.644456019","0"
"2020-11-20 15:33:01","44155.647928241","0"
"2020-11-20 15:38:01","44155.651400463","0.4"
"2020-11-20 15:43:01","44155.654872685","0"
"2020-11-20 15:48:01","44155.658344907","0.4"
"2020-11-20 15:53:01","44155.66181713","0.4"
"2020-11-20 15:58:01","44155.665289352","0.4"
"2020-11-20 16:03:01","44155.668761574","0.4"
"2020-11-20 16:08:01","44155.672233796","0"
"2020-11-20 16:13:01","44155.675706019","0"
"2020-11-20 16:18:01","44155.679178241","0"
"2020-11-20 16:23:01","44155.682650463","0"
"2020-11-20 16:28:01","44155.686122685","0.4"
"2020-11-20 16:33:01","44155.689594907","0"
"2020-11-20 16:38:01","44155.69306713","0"
"2020-11-20 16:43:01","44155.696539352","0.4"
"2020-11-20 16:48:01","44155.700011574","0.4"
"2020-11-20 16:53:01","44155.703483796","0.4"
"2020-11-20 16:58:01","44155.706956019","0"
"2020-11-20 17:03:01","44155.710428241","0"
"2020-11-20 17:08:01","44155.713900463","0"
"2020-11-20 17:13:00","44155.717361111","0.4"
"2020-11-20 17:18:01","44155.720844907","0.4"
"2020-11-20 17:23:01","44155.72431713","0.4"
"2020-11-20 17:28:01","44155.727789352","0"
"2020-11-20 17:33:01","44155.731261574","0"
"2020-11-20 17:38:01","44155.734733796","0.4"
"2020-11-20 17:43:01","44155.738206019","0.4"
"2020-11-20 17:48:01","44155.741678241","0.4"
"2020-11-20 17:53:01","44155.745150463","0"
"2020-11-20 17:58:01","44155.748622685","0"
"2020-11-20 18:03:01","44155.752094907","0"
"2020-11-20 18:08:01","44155.75556713","0"
"2020-11-20 18:13:01","44155.759039352","0.4"
"2020-11-20 18:18:01","44155.762511574","0"
"2020-11-20 18:23:01","44155.765983796","0.4"
"2020-11-20 18:28:01","44155.769456019","0.4"
"2020-11-20 18:33:01","44155.772928241","0"
"2020-11-20 18:38:01","44155.776400463","0"
"2020-11-20 18:43:01","44155.779872685","0"
"2020-11-20 18:48:01","44155.783344907","0"
"2020-11-20 18:53:01","44155.78681713","0"
"2020-11-20 18:58:01","44155.790289352","0.4"
"2020-11-20 19:03:01","44155.793761574","0"
"2020-11-20 19:08:01","44155.797233796","0.4"
"2020-11-20 19:13:01","44155.800706019","0"
"2020-11-20 19:18:01","44155.804178241","0.4"
"2020-11-20 19:23:01","44155.807650463","0"
"2020-11-20 19:28:01","44155.811122685","0"
"2020-11-20 19:33:01","44155.814594907","0.4"
"2020-11-20 19:38:01","44155.81806713","0.4"
"2020-11-20 19:43:01","44155.821539352","0"
"2020-11-20 19:48:01","44155.825011574","0"
"2020-11-20 19:53:01","44155.828483796","0"
"2020-11-20 19:58:01","44155.831956019","0"
"2020-11-20 20:03:01","44155.835428241","0.4"
